wind_speed	blade_mean_displacement	blade_std_displacement	nacelle_mean_displacement	nacelle_std_displacement
10.0	1.1201096097615824	0.3301666129481299	0.38415084018045315	0.13931021653036038
11.0	1.3553664881670326	0.3985331948830475	0.4648307935569589	0.1671164695501106
12.0	1.143776658833611	0.34537710575951536	0.39227230646506434	0.15175387413027058
13.0	0.9750362881840524	0.30358400594759344	0.3344070999427121	0.14011126551693717
14.0	0.8718534172588911	0.2793397748082578	0.2990212594361617	0.13433518049691393
15.0	0.8026889683749064	0.2642194216780594	0.27530070811961715	0.1315382235791537
16.0	0.7441243976645474	0.2521229931487969	0.2552148076866115	0.1297847286711513
17.0	0.6967769719893696	0.24254406721385158	0.23897464048026837	0.12834965665414627
18.0	0.660703404225906	0.23618571390334486	0.22660032399271676	0.12818487483998228
19.0	0.6267891215211139	0.23037375350760048	0.21496540712423268	0.12802540448167457
20.0	0.6008335451893321	0.22666255570662494	0.2060605092248629	0.1285095105180535
21.0	0.5773813638942039	0.2236819451059698	0.19801329596583167	0.12924955281713368
22.0	0.5602951351749986	0.22198304572291339	0.19215116206733432	0.1301035004529442
23.0	0.5395154936268043	0.21928746385731374	0.185019635199076	0.13049135532165576
24.0	0.5239462249159639	0.2178257323081516	0.17967648530854036	0.13119670223459465
25.0	0.508217508438673	0.2162915192507909	0.1742787325517001	0.13186352320993042
4.0	0.20286805080862516	0.05909121497602991	0.06957724067425505	0.02642458139486293
5.0	0.3158103597706431	0.09244590836597837	0.10831322534718868	0.04046520416833096
6.0	0.4475216204258156	0.13145443364015458	0.1534848636412514	0.05677994689134192
7.0	0.5783119177903142	0.17060430610503505	0.19834083187378498	0.07334152707182265
8.0	0.7167572193257976	0.21212613280628617	0.2458213196749253	0.09098794292421555
9.0	0.9072305965775374	0.26806949680604686	0.3111443285272331	0.11400953474502985
