wind_speed	blade_mean_displacement	blade_std_displacement	nacelle_mean_displacement	nacelle_std_displacement
10.0	1.1082201762441763	0.2206409712595505	0.38007201382788436	0.09467691314423171
11.0	1.3409515184271072	0.26621800371287	0.45988707030946185	0.11335314970780015
12.0	1.1314062204709565	0.23114810430226118	0.3880276759300313	0.10336302890630948
13.0	0.9643874377498334	0.20338598338221303	0.3307509633610372	0.0955227118659149
14.0	0.862285069312643	0.18741747946111484	0.29573553501997213	0.0916925398964799
15.0	0.7938181223215872	0.17756435071725632	0.27225428091362736	0.08996389268159725
16.0	0.7358361301851584	0.16938872396006438	0.25236829178359294	0.08856105244475247
17.0	0.6890079982255378	0.16324848839002432	0.23630676505014978	0.08781290606109153
18.0	0.6532891889007229	0.15915656402707745	0.22405567626583733	0.0877612638357643
19.0	0.6197038085679888	0.1553713673223572	0.21253550375139593	0.08767048779743072
20.0	0.5940607733501414	0.1526896321019049	0.20373782939197185	0.08767221163968661
21.0	0.5708227187491897	0.15084885739704648	0.1957657436710653	0.08828951513764637
22.0	0.5539627649500839	0.1498806910864847	0.18998144754125848	0.08897501687606227
23.0	0.5333850492388645	0.14791754214080297	0.18292172831555747	0.0890551182792587
24.0	0.5180065196095165	0.14693979030835622	0.17764495115046589	0.08947541473793016
25.0	0.5024668712214465	0.14595071626320832	0.17231325099013564	0.08990549908441381
4.0	0.2009290601971698	0.03971140305561229	0.06891147681931946	0.01827153964981435
5.0	0.31267140046208947	0.06200064741073257	0.10723505212043533	0.027844560107355268
6.0	0.4429669623899393	0.08803590197727464	0.1519214451970526	0.038907206924794366
7.0	0.5723167192434492	0.1141918753171802	0.19628281636828393	0.050146740635670914
8.0	0.70924087977535	0.14193230814136665	0.24324199754710527	0.06209418646389638
9.0	0.8976471086424579	0.17919262367868982	0.30785645792013594	0.07758231843936678
