wind_speed	blade_mean_displacement	blade_std_displacement	nacelle_mean_displacement	nacelle_std_displacement
10.0	1.101114734586386	0.11406689193496065	0.37763384754269974	0.052210212337622186
11.0	1.3323220253134933	0.13731621028720378	0.456926563053799	0.06214476874892876
12.0	1.1240395176898808	0.11984180390819042	0.3854978821343386	0.05712153534065323
13.0	0.9580317422907566	0.10615121019707074	0.3285664520568375	0.053255504445806116
14.0	0.8565817985455468	0.09836561659335889	0.29377436729595935	0.05139938697733928
15.0	0.7885025821506839	0.09361273770834558	0.2704262366607385	0.05057716794433142
16.0	0.7308944468241744	0.08965406843240538	0.25066899918652064	0.04987232882222836
17.0	0.6843330246741067	0.08679252035112062	0.23469949810335017	0.049575762344617164
18.0	0.6488710350325456	0.08467005377603307	0.22253700417258826	0.04931183017527994
19.0	0.6155098588410644	0.08297017563240472	0.21109447172149773	0.04935972790491727
20.0	0.5900089682469789	0.0818698017476874	0.2023476110955767	0.04955792778919919
21.0	0.5669140532043072	0.08082370595748904	0.19442614290447333	0.049590279383316505
22.0	0.5501658296380035	0.08034587776209051	0.18868097045543636	0.04989570347808979
23.0	0.5297132296623224	0.07949626832584658	0.1816655104331298	0.04995538776053741
24.0	0.5144365488413043	0.07912176405728501	0.17642464004892128	0.050227293531984685
25.0	0.49899525981133985	0.07877142047242011	0.171127551405441	0.050509181265450474
4.0	0.19976267692111138	0.021176336864468785	0.06851045306661656	0.01079677225918394
5.0	0.3107897430910921	0.03270636680118966	0.10658827697585947	0.01612490022654966
6.0	0.44023721849668007	0.046078413460518636	0.1509832118072627	0.022152986580989756
7.0	0.5687293498430592	0.05953286330736998	0.1950504261741594	0.028273035336495392
8.0	0.7047318632275307	0.07377805257623582	0.2416931733399286	0.03473685225067055
9.0	0.8919260821592104	0.09286819889042541	0.30589215589108115	0.04307433968964038
